Experiment,Base loading (equiv),Base type,Catalyst,Catalyst loading (mol%),Coupling partner loading (equiv),Residence time (min),Temperature (°C),Yield
1,1.0,TMG,P(t-Bu3)PdG4,3.0,1.0,30.0,120.0,2.0
2,1.0,DBU,P(t-Bu3)PdG4,5.0,1.2,40.0,130.0,2.0
3,3.0,BTMG,XphosPdG4,1.0,1.5,60.0,140.0,5.0
4,3.0,DBU,XphosPdG4,5.0,1.0,30.0,120.0,2.0
5,3.0,BTMG,XphosPdG4,1.0,1.5,50.0,140.0,4.0
6,3.0,BTMG,SphosPdG4,1.0,1.5,60.0,140.0,2.0
7,2.0,BTMG,XphosPdG4,1.0,1.5,60.0,140.0,4.0
8,3.0,BTMG,XphosPdG4,1.0,1.5,60.0,130.0,3.0
9,3.0,BTMG,XphosPdG4,3.0,1.5,60.0,140.0,25.0
10,3.0,BTMG,XphosPdG4,1.0,1.2,60.0,140.0,4.0
11,3.0,BTMG,XphosPdG4,3.0,1.5,50.0,140.0,9.0
12,3.0,BTMG,SphosPdG4,3.0,1.5,60.0,140.0,12.0
13,2.0,BTMG,XphosPdG4,3.0,1.5,60.0,140.0,23.0
14,3.0,BTMG,XphosPdG4,3.0,1.5,60.0,130.0,18.0
15,3.0,BTMG,XphosPdG4,3.0,1.2,60.0,140.0,23.0
16,3.0,BTMG,XphosPdG4,5.0,1.5,60.0,140.0,39.0
17,2.0,BTMG,EphosPdG4,3.0,1.2,50.0,130.0,16.0
18,3.0,BTMG,SphosPdG4,5.0,1.5,60.0,140.0,34.0
19,3.0,BTMG,EphosPdG4,3.0,1.2,60.0,140.0,25.0
20,3.0,BTMG,XphosPdG4,5.0,1.2,60.0,140.0,37.0
21,2.0,BTMG,XphosPdG4,5.0,1.5,60.0,140.0,22.0
22,3.0,BTMG,XphosPdG4,5.0,1.5,60.0,130.0,24.0
23,3.0,BTMG,P(t-Bu3)PdG4,5.0,1.2,60.0,140.0,43.0
24,3.0,BTMG,P(t-Bu3)PdG4,5.0,1.5,60.0,140.0,35.0
25,3.0,BTMG,P(t-Bu3)PdG4,5.0,1.0,60.0,140.0,27.0
26,3.0,BTMG,MorDalPhosPdG4,5.0,1.2,60.0,140.0,2.0
27,3.0,BTMG,EphosPdG4,5.0,1.2,60.0,140.0,39.0
